Trial       WBL      RMSE Peak_RMSE   Agg_Obj      Umax      Lmax      CQOF      CKIF       CK1       TOF       TIF        TG      CKBF
    1    35.726   108.738   108.738   184.074    19.800   167.000     0.850   215.000    10.200     0.186     0.042     0.045  1084.700
    2    44.993   120.467   120.467   203.030    10.518   266.857     0.820   856.339    29.196     0.478     0.569     0.129  3066.931
    3    51.412    99.480    99.480   182.888    14.650   220.699     0.488   691.261     9.417     0.181     0.750     0.893  1942.838
    4    55.704   138.533   138.533   230.347    12.788   250.325     0.219   248.201    24.874     0.305     0.428     0.562  1203.120
    5    42.512   122.501   122.501   204.126    11.640   162.046     0.760   838.964    31.583     0.641     0.814     0.632  2688.364
    6    68.950   138.575   138.575   237.630    12.573   128.903     0.236   937.409    16.585     0.081     0.671     0.114  3754.149
    7    49.298   129.565   129.565   216.194    17.944   157.145     0.493   596.803    32.606     0.902     0.094     0.295  1488.340
    8    48.482   123.856   123.856   208.949    19.326   246.904     0.547   335.486    27.537     0.981     0.822     0.986  1712.319
    9    34.555   128.358   128.358   207.247    10.420   175.525     0.924   250.022    39.933     0.027     0.082     0.814  1438.731
   10    58.552   135.293   135.293   228.000    18.454   132.881     0.320   796.219    25.505     0.621     0.942     0.178  2123.676
   11    54.620   137.978   137.978   229.110    18.409   130.846     0.242   684.547    26.664     0.562     0.285     0.549  1236.217
   12    48.301   129.475   129.475   215.560    19.657   228.104     0.563   446.921    38.404     0.142     0.601     0.470  1674.619
   13    69.287   139.861   139.861   239.322    13.014   103.930     0.172   457.168    10.872     0.734     0.844     0.027  3282.339
   14    45.243   113.608   113.608   195.103    15.371   262.296     0.689   621.973    22.751     0.237     0.471     0.730  2286.826
   15    37.714   126.366   126.366   206.345    13.166   226.782     0.899   494.059    31.071     0.853     0.073     0.828  3114.467
   16    62.465   132.465   132.465   226.836    12.060   155.061     0.256   569.121    16.118     0.378     0.398     0.942  2421.586
   17    40.254   120.608   120.608   200.661    10.721   296.268     0.910   942.388    19.866     0.925     0.058     0.762  3436.632
